2017-06-16 19:25:54 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 418
2017-06-16 19:25:56 - PHP Warning:  unlink(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 101
2017-06-16 19:25:56 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:56 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:56 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:59 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:59 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:59 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:25:59 - PHP Warning:  fopen(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): failed to open stream: Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 414
2017-06-16 19:25:59 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 416
2017-06-16 19:25:59 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 418
2017-06-16 19:31:17 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:31:17 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:31:17 - PHP Warning:  rmdir(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin): Directory not empty in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 105
2017-06-16 19:31:17 - PHP Warning:  fopen(F:/OpenServer/domains/iPhoneService/system/storage/modification/admin/controller/catalog/manufacturer.php): failed to open stream: Permission denied in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 414
2017-06-16 19:31:17 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 416
2017-06-16 19:31:17 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in F:\OpenServer\domains\iPhoneService\admin\controller\extension\modification.php on line 418
2017-06-21 13:52:53 - PHP Notice:  Error: Could not load template F:/OpenServer/domains/iPhoneService/admin/view/template/extension/module/vantage.tpl! in F:\OpenServer\domains\iPhoneService\system\storage\modification\system\library\template\php.php on line 23
2017-06-21 13:57:06 - PHP Notice:  Error: Could not load template F:/OpenServer/domains/iPhoneService/admin/view/template/extension/module/vantage.tpl! in F:\OpenServer\domains\iPhoneService\system\storage\modification\system\library\template\php.php on line 23
2017-06-21 13:57:14 - PHP Notice:  Error: Could not load template F:/OpenServer/domains/iPhoneService/admin/view/template/extension/module/vantage.tpl! in F:\OpenServer\domains\iPhoneService\system\storage\modification\system\library\template\php.php on line 23
2017-06-21 13:58:02 - PHP Notice:  Error: Could not load template F:/OpenServer/domains/iPhoneService/admin/view/template/extension/module/vantage.tpl! in F:\OpenServer\domains\iPhoneService\system\storage\modification\system\library\template\php.php on line 23
